,Date,Location,Deaths,Injuries,Description,Suspects Deaths,Suspects Injuries,Total,dt,City,State,Location_,loc,loc_name,loc_coords,lat,long,Month,Year,Day
248,"April 24, 1998","Edinboro, Pennsylvania",1,3,"Parker Middle School dance shooting: 14-year-old student, Andrew Wurst, fatally shot 48-year-old teacher, John Gillette, and wounded two students and another teacher at an 8th grade graduation dance. He is serving a thirty to sixty-year sentence in a prison for young offenders.[313][314]",0,0,4,1998-04-24,Edinboro,Pennsylvania,"Edinboro, Pennsylvania","Edinboro, Erie County, Pennsylvania, USA","Edinboro, Erie County, Pennsylvania, USA","(41.8742225, -80.1317236)",41.8742225,-80.1317236,4,1998,24
249,"May 19, 1998","Fayetteville, Tennessee",1,0,"18-year-old Jacob Lee Davis, shot 18-year-old Robert Creson, at Lincoln County High School in a dispute over a girl.[315] Davis received a life sentence on July 29, 1999.[316]",0,0,1,1998-05-19,Fayetteville,Tennessee,"Fayetteville, Tennessee","Fayetteville, Lincoln County, Tennessee, 37334, USA","Fayetteville, Lincoln County, Tennessee, 37334, USA","(35.1520267, -86.5705509)",35.1520267,-86.5705509,5,1998,19
250,"May 21, 1998","Springfield, Oregon",4,25,"Thurston High School shooting: After killing his parents at home, 15-year-old Kip Kinkel, drove to Thurston High School, where he killed two students and wounded 25 others.[313] After pleading guilty, he was sentenced to 111 years of prison.[317]",0,0,29,1998-05-21,Springfield,Oregon,"Springfield, Oregon","Springfield, Lane County, Oregon, USA","Springfield, Lane County, Oregon, USA","(44.0462362, -123.0220289)",44.0462362,-123.0220289,5,1998,21
251,"June 15, 1998","Richmond, Virginia",0,2,"14-year-old student, Quinshawn Brooker, wounded 45-year-old basketball coach and history teacher, Gregory Carter, and 74-year-old Head Start volunteer, Eloise Wilson, in the hallway of Armstrong High School.[313][318]",0,0,2,1998-06-15,Richmond,Virginia,"Richmond, Virginia","Richmond, Richmond City, Virginia, 23298, USA","Richmond, Richmond City, Virginia, 23298, USA","(37.5385087, -77.43428)",37.5385087,-77.43428,6,1998,15
252,"December 10, 1998","Detroit, Michigan",1,0,"52-year-old Professor Andrzej Olbrot, was killed by 48-year-old graduate doctoral student, Wlodzimierz Dedecjusat, at Wayne State University.[319]",0,0,1,1998-12-10,Detroit,Michigan,"Detroit, Michigan","Detroit, Wayne County, Michigan, USA","Detroit, Wayne County, Michigan, USA","(42.3315509, -83.0466403)",42.3315509,-83.0466403,12,1998,10
253,"January 8, 1999","Carrollton, Georgia",2,0,"15-year-old Andrea Garrett was found dead and 17-year-old Jeff Miller seriously wounded in the girls' restroom at Central Carrollton County High School, after a suspected suicide pact. Miller died the next day.[320][321]",2,0,2,1999-01-08,Carrollton,Georgia,"Carrollton, Georgia","Carrollton, Carroll County, Georgia, USA","Carrollton, Carroll County, Georgia, USA","(33.5801103, -85.0766113)",33.5801103,-85.0766113,1,1999,8
254,"April 20, 1999","Littleton, Colorado",15,21,"Columbine High School massacre: 18-year-old Eric Harris and 17-year-old Dylan Klebold, students at Columbine High School, killed twelve students and one teacher. They injured 21 additional people, and three more were injured while attempting to escape the school. The pair committed suicide in the library after a brief gunfight with police at the end of the massacre. Eric and Dylan used a 9mm Hi-Point 995 Carbine rifle, a Savage 67H pump-action shotgun (sawed off), multiple pipe bombs, propane tanks, gasoline bombs, etc. Klebold used an Intratec TEC-DC9 semi-automatic pistol, a Stevens 311D double barreled sawed-off shotgun multiple pipe bombs, Molotov cocktails, and propane tanks. [313][322]",2,0,36,1999-04-20,Littleton,Colorado,"Littleton, Colorado","Littleton, Arapahoe County, Colorado, USA","Littleton, Arapahoe County, Colorado, USA","(39.613321, -105.0166498)",39.613321,-105.0166498,4,1999,20
255,"May 20, 1999","Conyers, Georgia",0,6,"15-year-old student Thomas ""T.J."" Solomon Jr., wounded six students at Heritage High School. A 15-year-old girl was hospitalized in critical condition, and the other victims suffered from non-life-threatening injuries.[313] Solomon initially faced up to 351 years of prison if convicted of aggravated assault and other charges. In 2000 he was found guilty but mentally ill and was sentenced to forty years in prison and sixty-five years of probation.[323]",0,0,6,1999-05-20,Conyers,Georgia,"Conyers, Georgia","Conyers, Rockdale County, Georgia, 30013-2028, USA","Conyers, Rockdale County, Georgia, 30013-2028, USA","(33.6676103, -84.0176904)",33.6676103,-84.0176904,5,1999,20
256,"November 19, 1999","Deming, New Mexico",1,0,"13-year-old Victor Cordova Jr., fatally shot 13-year-old Deming Middle School schoolmate, Araceli Tena. Cordova said he had intended to commit suicide but was jostled by others and his gun moved.[313][324] He could not be charged as an adult as he was under 14 so he received the maximum sentence for a juvenile: a minimum of two years in prison, with a maximum of being held until his 21st birthday.[325][326] In December 2003, he was released to his aunt and uncle to live with them in Colorado.[327]",0,0,1,1999-11-19,Deming,New Mexico,"Deming, New Mexico","Deming, Luna County, New Mexico, 88031, USA","Deming, Luna County, New Mexico, 88031, USA","(32.2686981, -107.7586404)",32.2686981,-107.7586404,11,1999,19
257,"December 6, 1999","Fort Gibson, Oklahoma",0,6,"Before his middle school opened, 13-year-old Seth Trickey opened fire in the courtyard. While there were no fatalities, several students felt sparks from the bullets hitting the building walls. Five were injured, including a girl who was shot in the face.[313] Trickey brought the gun from home.[328] he was tried as juvenile and released in March 2005.[329]",0,0,6,1999-12-06,Fort Gibson,Oklahoma,"Fort Gibson, Oklahoma","Fort Gibson, Muskogee County, Oklahoma, 74434, USA","Fort Gibson, Muskogee County, Oklahoma, 74434, USA","(35.7975343, -95.2503892)",35.7975343,-95.2503892,12,1999,6
258,"February 29, 2000","Flint, Michigan",1,0,"Shooting of Kayla Rolland: At Buell Elementary School,
6-year-old Dedrick Owens fatally shot 6-year-old classmate Kayla Rolland. To date, Owens is the youngest documented school shooter.[330]",0,0,1,2000-02-29,Flint,Michigan,"Flint, Michigan","Flint, Genesee County, Michigan, 48504, USA","Flint, Genesee County, Michigan, 48504, USA","(43.0171773, -83.7236024)",43.0171773,-83.7236024,2,2000,29
259,"May 26, 2000","Lake Worth, Florida",1,0,"13-year-old honor student, Nathaniel Brazill, was sent home for throwing water balloons, but returned to his Lake Worth Middle School with a family pistol. He fatally shot teacher Barry Grunow, a popular teacher, he was Brazill's favorite.[330][331]",0,0,1,2000-05-26,Lake Worth,Florida,"Lake Worth, Florida","Lake Worth, Holiday Way, Lake Worth Beach, Palm Beach County, Florida, 33460, USA","Lake Worth, Holiday Way, Lake Worth Beach, Palm Beach County, Florida, 33460, USA","(26.6161211, -80.0691417)",26.6161211,-80.0691417,5,2000,26
260,"June 28, 2000","Seattle, Washington",2,0,"58-year-old Director of the Division of Pathology of the University of Washington Medical Center, Rodger C. Haggitt, was shot dead by 42-year-old Chinese (Taiwan) emigrant and then U. S. citizen, Jian Chen, who had just completed his second year of forensic pathology residency training and had been notified of his contract non-renewal (which Chen wrote would dishonor his family). Chen then committed suicide.[332] In 2001 the Rodger C. Haggitt Gastrointestinal Pathology Society was named in memory of Dr. Haggitt.",3,0,2,2000-06-28,Seattle,Washington,"Seattle, Washington","Seattle, King County, Washington, United States of America","Seattle, King County, Washington, United States of America","(47.6038321, -122.3300624)",47.6038321,-122.3300624,6,2000,28
261,"August 28, 2000","Fayetteville, Arkansas",2,0,"36-year-old James Easton Kelly, a PhD candidate in Comparative Literature at University of Arkansas, killed 67-year-old John R. Locke, the English professor overseeing his coursework. Kelly had been dismissed from this PhD program for lack of progress toward his degree. Kelly shot Locke three times before committing suicide in the director's office, which had been isolated by campus police.[333]",3,0,2,2000-08-28,Fayetteville,Arkansas,"Fayetteville, Arkansas","Fayetteville, Washington County, Arkansas, USA","Fayetteville, Washington County, Arkansas, USA","(36.0625843, -94.1574328)",36.0625843,-94.1574328,8,2000,28
262,"September 26, 2000","New Orleans, Louisiana",0,2,"13 year-olds Darrel Johnson, and Alfred Anderson were initially charged with attempted first-degree murder in the shooting of 15 year-old William Pennington. Pennington, after being shot, managed to gain control of the gun and shoot Johnson in the back.[334] Charges were later reduced to Aggravated Battery.",0,0,2,2000-09-26,New Orleans,Louisiana,"New Orleans, Louisiana","New Orleans, Orleans Parish, Louisiana, USA","New Orleans, Orleans Parish, Louisiana, USA","(29.9499323, -90.0701156)",29.9499323,-90.0701156,9,2000,26
263,"December 1, 2000","San Diego, California",0,1,"A 15-year-old Junipero Serra High School student who showed off a handgun on campus and threatened to shoot a classmate, ended up accidentally shooting himself, causing minor injuries.[335]",0,3,1,2000-12-01,San Diego,California,"San Diego, California","San Diego, San Diego County, California, USA","San Diego, San Diego County, California, USA","(32.7174209, -117.1627714)",32.7174209,-117.1627714,12,2000,1
264,"March 5, 2001","Santee, California",2,13,"Santana High School shooting: 15-year-old student, Charles Andrew Williams, killed two students, 14-year-old Bryan Zuckor, and 15-year-old Randy Gordon, at Santana High School and wounded thirteen others. He was arrested and convicted of murder and attempted murder. He was sentenced to life with the chance of parole after serving fifty years.[336]",0,0,15,2001-03-05,Santee,California,"Santee, California","Santee, San Diego County, California, USA","Santee, San Diego County, California, USA","(32.8383828, -116.9739167)",32.8383828,-116.9739167,3,2001,5
265,"March 7, 2001","Williamsport, Pennsylvania",0,1,"14-year-old student, Elizabeth Catherine Bush, wounded fellow student Kimberly Marchese in the cafeteria of Bishop Neumann High School.[337]",0,0,1,2001-03-07,Williamsport,Pennsylvania,"Williamsport, Pennsylvania","Williamsport, Lycoming County, Pennsylvania, 17701, USA","Williamsport, Lycoming County, Pennsylvania, 17701, USA","(41.2493292, -77.0027671)",41.2493292,-77.0027671,3,2001,7
266,"May 16, 2001","Parkland, Washington",2,0,40-year-old music instructor and organist James D. Holloway was shot multiple times with a .22-caliber handgun at Pacific Lutheran University by a 55-year-old man from Tacoma. The shooter was not a student or employee of the university and also killed himself. The victim was apparently chosen at random as the shooter had a personal dispute with a different staff member who was not on campus that day.[338],3,0,2,2001-05-16,Parkland,Washington,"Parkland, Washington","Parkland, Pierce County, Washington, USA","Parkland, Pierce County, Washington, USA","(47.155846, -122.437031)",47.155846,-122.437031,5,2001,16
267,"March 22, 2001","El Cajon, California",0,5,"18-year-old former student, Jason Hoffman, opened fire at Granite Hills High School, injuring five people. He was convicted of assault and sentenced to prison, where he committed suicide in 2002.[339]",0,0,5,2001-03-22,El Cajon,California,"El Cajon, California","El Cajon, San Diego County, California, USA","El Cajon, San Diego County, California, USA","(32.7947731, -116.9625269)",32.7947731,-116.9625269,3,2001,22
268,"March 30, 2001","Gary, Indiana",1,0,"17-year-old Donald Ray Burt Jr., fatally shot Neal Boyd, IV with one bullet to the head in a parking lot outside Lew Wallace High School.[340] Burt was sentenced to 57 years in prison.[341]",0,0,1,2001-03-30,Gary,Indiana,"Gary, Indiana","Gary, Lake County, Indiana, USA","Gary, Lake County, Indiana, USA","(41.6021292, -87.3371372)",41.6021292,-87.3371372,3,2001,30
269,"January 15, 2002","New York City, New York",0,2,"17-year-old Vincent Rodriguez, wounded two students at Martin Luther King, Jr. High School in Manhattan, with a semi-automatic pistol. He was retaliating for the victims having harassed his girlfriend. In February 2003, Rodriguez was sentenced to ten years in prison on charges of assault and attempted assault.[342]",0,0,2,2002-01-15,New York City,New York,"New York City, New York","NYC, New York, United States of America","NYC, New York, United States of America","(40.7127281, -74.0060152)",40.7127281,-74.0060152,1,2002,15
270,"January 16, 2002","Grundy, Virginia",3,3,"Appalachian School of Law shooting: Recently dismissed graduate student, 42-year-old Peter Odighizuwa, killed three at the Appalachian School of Law. 42-year-old dean Anthony Sutin, and 41-year-old professor Thomas Blackwell were killed along with 33-year-old student, Angela Dales. Three other students were also wounded.[343] In 2005 Odighizuwa received three life sentences and an additional 28 years without the possibility of parole.[344]",0,0,6,2002-01-16,Grundy,Virginia,"Grundy, Virginia","Grundy, Buchanan County, Virginia, 24614, USA","Grundy, Buchanan County, Virginia, 24614, USA","(37.2778886, -82.0990223)",37.2778886,-82.0990223,1,2002,16
271,"February 20, 2002","Milwaukee, Wisconsin",1,0,"16-year-old Washington High School student, Joseph Johnson Jr., was killed by Phillip D. Jackson Jr., when violence erupts between rival fans in the parking lot, after a basketball game between Vincent High School.[345]",0,0,1,2002-02-20,Milwaukee,Wisconsin,"Milwaukee, Wisconsin","Milwaukee, Milwaukee County, Wisconsin, United States of America","Milwaukee, Milwaukee County, Wisconsin, United States of America","(43.0349931, -87.922497)",43.0349931,-87.922497,2,2002,20
272,"October 7, 2002","Bowie, Maryland",0,1,"In the Beltway sniper attacks, one victim of several was 13-year-old Iran Brown, who was wounded as he arrived at Benjamin Tasker Middle School in Bowie, Maryland. His aunt, a nurse who had just dropped him off, rushed him to a hospital emergency room. Despite serious injuries, Brown survived the attack.[346][347] The shooters, Lee Boyd Malvo and John Allen Muhammad, were later convicted of numerous unrelated murders committed during their killing spree. Muhammad was executed in 2009, while Malvo was sentenced to life in prison.",0,0,1,2002-10-07,Bowie,Maryland,"Bowie, Maryland","Bowie, Prince George's County, Maryland, USA","Bowie, Prince George's County, Maryland, USA","(38.9429659, -76.731234)",38.9429659,-76.731234,10,2002,7
273,"October 28, 2002","Tucson, Arizona",4,0,"Failing nursing college student and Gulf War veteran, 40-year-old Robert Stewart Flores Jr., killed three assistant professors of nursing at the University of Arizona, 50-year-old Robin Rogers, 44-year-old Cheryl McGaffic, and 45-year-old Barbara Monroe, before turning the gun on himself.[348]",3,0,4,2002-10-28,Tucson,Arizona,"Tucson, Arizona","Tucson, Pima County, Arizona, USA","Tucson, Pima County, Arizona, USA","(32.2218917, -110.9262353)",32.2218917,-110.9262353,10,2002,28
274,"October 29, 2002","Jersey City, New Jersey",0,1,"A 15-year-old student was shot in the abdomen and wounded inside a basement of Lincoln High School, during an argument with another student. Another 15-year-old student was arrested and charged with attempted murder.[349]",0,0,1,2002-10-29,Jersey City,New Jersey,"Jersey City, New Jersey","Jersey City, Hudson County, New Jersey, United States of America","Jersey City, Hudson County, New Jersey, United States of America","(40.7281575, -74.0776417)",40.7281575,-74.0776417,10,2002,29
275,"April 14, 2003","New Orleans, Louisiana",1,3,"John McDonogh High School shooting. 18-year-old Steven Williams, and 17-year-old James Tate opened fire with an AK-47 and a handgun in the gymnasium of John McDonogh High School, killing a 15-year-old student and wounding three female students. Williams was sentenced to life imprisonment, and Tate was sentenced to fifteen years.[350][351][352]",0,0,4,2003-04-14,New Orleans,Louisiana,"New Orleans, Louisiana","New Orleans, Orleans Parish, Louisiana, USA","New Orleans, Orleans Parish, Louisiana, USA","(29.9499323, -90.0701156)",29.9499323,-90.0701156,4,2003,14
276,"April 24, 2003","Red Lion, Pennsylvania",2,0,"14-year-old student James Sheets, entered Red Lion Area Junior High School armed with his stepfather's pistols. He killed the school's principal, Eugene Segro, before killing himself.[353][354]",3,0,2,2003-04-24,Red Lion,Pennsylvania,"Red Lion, Pennsylvania","Red Lion, York County, Pennsylvania, 17356, USA","Red Lion, York County, Pennsylvania, 17356, USA","(39.9009334, -76.6058001)",39.9009334,-76.6058001,4,2003,24
277,"May 9, 2003","Cleveland, Ohio",1,2,"On May 9, 2003, Biswanath Halder, a 62-year-old business school alumnus of Case Western Reserve University, killed a graduate student and wounded a professor and another student using a semi-automatic rifle. He held the building and its nearly 100 occupants hostage for seven hours before being apprehended by a SWAT team. He was sentenced to life in prison.[355][356]",0,0,3,2003-05-09,Cleveland,Ohio,"Cleveland, Ohio","Cleveland, Cuyahoga County, Ohio, USA","Cleveland, Cuyahoga County, Ohio, USA","(41.5051613, -81.6934446)",41.5051613,-81.6934446,5,2003,9
278,"September 24, 2003","Cold Spring, Minnesota",2,0,"Rocori High School shooting: 15-year-old John Jason McLaughlin, shot 15-year-old freshman Seth Bartell and 17-year-old senior Aaron Rollins at Rocori High School. Rollins was killed immediately, and Bartell died from his wounds sixteen days later. McLaughlin was sentenced to life in prison with the chance of parole in 2038.[330]",0,0,2,2003-09-24,Cold Spring,Minnesota,"Cold Spring, Minnesota","Cold Spring, Stearns County, Minnesota, 56320, USA","Cold Spring, Stearns County, Minnesota, 56320, USA","(45.4557973, -94.4288849)",45.4557973,-94.4288849,9,2003,24
279,"February 2, 2004","Washington, D.C.",1,0,"Thomas J. Boykin was acquitted of the murder of 17-year-old James Richardson, a football player at Ballou High School in Southeast Washington.[357]",0,0,1,2004-02-02,Washington,D.C.,"Washington, D.C.","Washington, D.C., USA","Washington, D.C., USA","(38.8950092, -77.0365625)",38.8950092,-77.0365625,2,2004,2
280,"February 9, 2004","East Greenbush, New York",0,1,"Jon W. Romano in East Greenbush, New York fired two rounds from a shotgun, wounding one teacher. He was tackled by the assistant principal and charged with one count of attempted murder.[358]",0,0,1,2004-02-09,East Greenbush,New York,"East Greenbush, New York","East Greenbush, Town of East Greenbush, Rensselaer County, New York, 12061-9998, USA","East Greenbush, Town of East Greenbush, Rensselaer County, New York, 12061-9998, USA","(42.5909135, -73.7017858)",42.5909135,-73.7017858,2,2004,9
281,"May 7, 2004","Randallstown, Maryland",0,4,"Two students were charged with a school shooting that arose from a dispute after a basketball game at Randallstown High School. Four persons were injured, two seriously. One student was paralyzed from the waist down.[359]",0,0,4,2004-05-07,Randallstown,Maryland,"Randallstown, Maryland","Randallstown, Baltimore County, Maryland, 21133, USA","Randallstown, Baltimore County, Maryland, 21133, USA","(39.36909865, -76.7959596423594)",39.36909865,-76.7959596423594,5,2004,7
282,"February 8, 2005","Chicago, Illinois",0,1,An 18-year-old student at Bowen High School was shot in the leg as she left the school around 2:30 p.m.[360],0,0,1,2005-02-08,Chicago,Illinois,"Chicago, Illinois","Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,2,2005,8
283,"March 2, 2005","Dover, Tennessee",1,0,"14-year-old Jason Clinard, killed his bus driver, 47-year-old Joyce Gregory, as she stopped to pick him up. Gregory had earlier reported Clinard for using snuff on the school bus. Clinard was given a life sentence.[361] but he has since filed for post conviction relief[362]",0,0,1,2005-03-02,Dover,Tennessee,"Dover, Tennessee","Dover, Hamblen County, Tennessee, 37814:37891, USA","Dover, Hamblen County, Tennessee, 37814:37891, USA","(36.2142609, -83.2143335)",36.2142609,-83.2143335,3,2005,2
284,"March 21, 2005","Red Lake, Minnesota",10,7,"Red Lake shootings: 16-year-old student Jeffrey Weise, killed his grandfather and grandfather's companion at their home, where he had been living, at the Red Lake Indian Reservation. He drove to Red Lake Senior High School. Armed with his grandfather's police weapons, Weise killed five students, one teacher, and one security guard, wounding seven others, before committing suicide following a gunfight with police officers.[363]",3,0,17,2005-03-21,Red Lake,Minnesota,"Red Lake, Minnesota","Red Lake County, Minnesota, USA","Red Lake County, Minnesota, USA","(47.8605178, -96.0988343)",47.8605178,-96.0988343,3,2005,21
285,"September 13, 2005","Chicago, Illinois",0,1,"At Harlan Community Academy High School, a fight broke out between two 15-year-old boys in the gymnasium. Christopher Huff took out a pistol, shooting the other youth in the leg. A police officer on duty at the school arrested the gunman. The suspected shooter was charged as an adult with aggravated battery with a firearm.[364]",0,0,1,2005-09-13,Chicago,Illinois,"Chicago, Illinois","Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,9,2005,13
286,"November 8, 2005","Jacksboro, Tennessee",1,2,"Campbell County High School shooting: Inside the Campbell County High School office, 15-year-old Kenneth Bartley, shot the school principal, Gary Seale. He shot assistant principals Ken Bruce and Jim Pierce. Bruce later died from his wound. Bartley was sentenced to forty-five years in prison with chance of parole after twenty-nine years.[365][366][217]",0,0,3,2005-11-08,Jacksboro,Tennessee,"Jacksboro, Tennessee","Jacksboro, Campbell County, Tennessee, USA","Jacksboro, Campbell County, Tennessee, USA","(36.3300793, -84.1838156)",36.3300793,-84.1838156,11,2005,8
287,"February 23, 2006","Roseburg, Oregon",0,1,"14-year-old freshman Vincent Wayne Leodoro, shot student 16-year-old Joseph Monti, four times in the back with a handgun at Roseburg High School. Leodoro walked away from the school campus, and was confronted near a restaurant by six police officers. He threatened suicide but was persuaded to surrender.[367] He was found guilty of attempted murder and assault in July 2006, and will be held in prison until he turns twenty five years old.[368]",0,0,1,2006-02-23,Roseburg,Oregon,"Roseburg, Oregon","Roseburg, Douglas County, Oregon, USA","Roseburg, Douglas County, Oregon, USA","(43.216505, -123.3417381)",43.216505,-123.3417381,2,2006,23
288,"March 14, 2006","Reno, Nevada",0,2,"Pine Middle School shooting: In the hallway of Pine Middle School, 14-year-old James Scott Newman, injured two 14-year-old classmates, Alexander Rueda and Kenzie McKeon, with a revolver belonging to his parents. Two students received minor wounds. Newman was subdued by a physical education teacher. The youth was arrested and charged as an adult for attempted murder, use of a deadly weapon and use of a firearm by a minor.[369] He later pleaded guilty to charges of two counts of battery with a deadly weapon, and was sentenced as a juvenile. Newman was sentenced to house arrest until he completed two-hundred hours of community service.[370]",0,0,2,2006-03-14,Reno,Nevada,"Reno, Nevada","Reno, Washoe County, Nevada, USA","Reno, Washoe County, Nevada, USA","(39.52927, -119.8136744)",39.52927,-119.8136744,3,2006,14
289,"August 24, 2006","Essex Junction, Vermont",2,3,"Christopher Williams, 26, shot his girlfriend's mother, Linda Lambesis, 57 at her home and from there he went to Essex Elementary School where Andrea, his girlfriend, worked. After he arrived at the elementary school, which was not in session at the time, he shot and killed Mary Alicia Shanks, 56, and shot Mary Snedeker, 52, nonfatally. He left the school and allegedly shot Chad Johansen, 26 nonfatally. He then turned the gun on himself, but did not die as a result.[371] Williams was sentenced to life in prison without parole in 2008.[372]",0,3,5,2006-08-24,Essex Junction,Vermont,"Essex Junction, Vermont","Essex Junction, Essex, Chittenden County, Vermont, USA","Essex Junction, Essex, Chittenden County, Vermont, USA","(44.489086, -73.1135030784832)",44.489086,-73.1135030784832,8,2006,24
290,"August 30, 2006","Hillsborough, North Carolina",1,2,"After shooting and killing his father, 18-year old teenager Alvaro Castillo went to his high school where he wounded two students. He was reportedly obsessed with the Columbine shootings and had written an email to the current Columbine high school principal before committing his own crime.[373] he was sentenced to life without parole.[374]",0,0,3,2006-08-30,Hillsborough,North Carolina,"Hillsborough, North Carolina","Hillsborough, Orange County, North Carolina, 27278, USA","Hillsborough, Orange County, North Carolina, 27278, USA","(36.0752297, -79.0992279)",36.0752297,-79.0992279,8,2006,30
291,"September 2, 2006","Shepherdstown, West Virginia",3,0,"49-year-old Douglas W. Pennington, killed himself and his two sons, 26-year-old Logan P. Pennington, 24-year-old Benjamin M. Pennington, during a visit to the campus of Shepherd University.[375][376]",3,0,3,2006-09-02,Shepherdstown,West Virginia,"Shepherdstown, West Virginia","Shepherdstown, Jefferson County, West Virginia, 25443, USA","Shepherdstown, Jefferson County, West Virginia, 25443, USA","(39.4300996, -77.804161)",39.4300996,-77.804161,9,2006,2
292,"September 17, 2006","Pittsburgh, Pennsylvania",0,5,"Five Duquesne basketball players were shot early Sunday morning during an apparent act of random violence on campus, leaving three hospitalized — two of them in critical condition.[377]",0,0,5,2006-09-17,Pittsburgh,Pennsylvania,"Pittsburgh, Pennsylvania","PGH, Allegheny County, Pennsylvania, USA","PGH, Allegheny County, Pennsylvania, USA","(40.4416941, -79.9900861)",40.4416941,-79.9900861,9,2006,17
293,"September 27, 2006","Bailey, Colorado",2,0,"Platte Canyon High School hostage crisis: 53-year-old drifter, Duane Roger Morrison, walked into Platte Canyon High School and took six girls hostage. During the ensuing siege, Morrison sexually assaulted all of the girls. When a SWAT team stormed the classroom, Morrison killed 16-year-old Emily Keyes, then took his own life after being shot and wounded by police.[378]",3,0,2,2006-09-27,Bailey,Colorado,"Bailey, Colorado","Bailey, Park County, Colorado, USA","Bailey, Park County, Colorado, USA","(39.4064662, -105.4717013)",39.4064662,-105.4717013,9,2006,27
294,"September 29, 2006","Cazenovia, Wisconsin",1,0,"Weston High School shooting: At around 8 a.m., 15-year-old freshman, Eric Hainstock, entered Weston High School. He aimed a 20-gauge shotgun at social studies teacher, Chuck Keller, before it was wrestled from him by school custodian, Dave Thompson. Hainstock then shot 49-year-old high school principal, John Alfred Klang, with a .22 caliber revolver. Klang died later that afternoon.[379][380] Hainstock was charged and convicted of murder, and is serving a life sentence. He will be eligible for parole in 2037.[217][381]",0,0,1,2006-09-29,Cazenovia,Wisconsin,"Cazenovia, Wisconsin","Cazenovia, Richland County, Wisconsin, USA","Cazenovia, Richland County, Wisconsin, USA","(43.5230345, -90.196238)",43.5230345,-90.196238,9,2006,29
295,"October 2, 2006","Nickel Mines, Pennsylvania",6,5,"West Nickel Mines School shooting: 32-year-old milk truck driver, Charles Carl Roberts IV, killed five Amish girls and wounded five others before killing himself in an Amish school in the hamlet of Nickel Mines, in Bart Township, Lancaster County.[382]",3,0,11,2006-10-02,Nickel Mines,Pennsylvania,"Nickel Mines, Pennsylvania","Nickel Mines Mission, Mine Road, Georgetown, Lancaster County, Pennsylvania, 17562, USA","Nickel Mines Mission, Mine Road, Georgetown, Lancaster County, Pennsylvania, 17562, USA","(39.9539915, -76.0807861)",39.9539915,-76.0807861,10,2006,2
296,"October 9, 2006","Joplin, Missouri",0,0,"13-year-old student Thomas White fired one shot from a Mac-90 rifle at a hallway ceiling at Memorial Middle School. The gunshot struck a water pipe, and nobody was injured. He also tried repeatedly to shoot principal Stephen Gilbreth at near-point-blank range as Gilbreth ushered him out of the school. Joplin police say the attempt was foiled by an improperly seated ammunition clip in the rifle. The principal was not injured. White was tried as an adult on charges of assault and firearms possession, and in 2009 he was sentenced to ten years of prison.[383]",0,0,0,2006-10-09,Joplin,Missouri,"Joplin, Missouri","Joplin, Jasper County, Missouri, USA","Joplin, Jasper County, Missouri, USA","(37.08418, -94.51323)",37.08418,-94.51323,10,2006,9
297,"January 3, 2007","Tacoma, Washington",1,0,"18-year-old student Douglas S. Chanthabouly, killed 17-year-old Samnang Kok, in the hallways of Henry Foss High School following a personal disagreement. In 2009, Chanthabouly was sentenced to 23 years in prison on a charge of second-degree murder.[384]",0,0,1,2007-01-03,Tacoma,Washington,"Tacoma, Washington","Tacoma, Pierce County, Washington, USA","Tacoma, Pierce County, Washington, USA","(47.2495798, -122.4398746)",47.2495798,-122.4398746,1,2007,3
298,"March 7, 2007","Compton, California",0,1,"During an argument with several non-students and students, a student was shot in the elbow and wounded in the eating area at Centennial High School. The shooting occurred an hour after classes were dismissed, and students in after-school activities were sent home.[385]",0,0,1,2007-03-07,Compton,California,"Compton, California","Compton, Los Angeles County, California, USA","Compton, Los Angeles County, California, USA","(33.894927, -118.226624)",33.894927,-118.226624,3,2007,7
299,"April 16, 2007","Blacksburg, Virginia",33,23,"Virginia Tech shooting: 23-year-old student, Seung-Hui Cho, armed with 2 pistols, a Glock 19 and a Walther P22, killed thirty-two students and faculty members at Virginia Tech, and wounded another seventeen students and faculty members in two separate attacks before committing suicide. The first attack was on the second floor of West Ambler Johnston Hall where he shot a young girl and another student that came to help. He then changed his clothes, and made multiple videos stating that he ""had to do it for his brothers and sisters."" He then made several pictures of himself with hammers, large knives, and guns. He then chained the doors of Norris Hall shut and shot and killed 30 more students and staff. He also shot 17 more students and staff wounding them. 6 more students were also wounded from non gunshot injuries. He was described as extremely quiet and lonely. During the rampage he wore a black T-shirt, a russet vest, a backwards baseball cap, black military cargo pants, black boots, and grip gloves. The incident is the 3rd deadliest shooting by a lone gunman in modern U.S. history and the deadliest school shooting in modern U.S. history.",3,0,56,2007-04-16,Blacksburg,Virginia,"Blacksburg, Virginia","Blacksburg, Montgomery County, Virginia, USA","Blacksburg, Montgomery County, Virginia, USA","(37.2296566, -80.4136767)",37.2296566,-80.4136767,4,2007,16
